time,global_base_link_position.x,global_base_link_position.y,global_base_link_position.z,global_base_link_rotation.x,global_base_link_rotation.y,global_base_link_rotation.z,global_base_link_rotation.w,bsae_linear_vel_x,bsae_linear_vel_y,bsae_linear_vel_z,bsae_angular_vel_x,bsae_angular_vel_y,bsae_angular_vel_z,local_Link_head_yaw_rotation,local_Link_head_pitch_rotation,local_Link_arm_l_01_rotation,local_Link_arm_l_02_rotation,local_Link_arm_l_03_rotation,local_Link_arm_l_04_rotation,local_Link_arm_l_05_rotation,local_Link_arm_l_06_rotation,local_Link_arm_l_07_rotation,local_Link_arm_r_01_rotation,local_Link_arm_r_02_rotation,local_Link_arm_r_03_rotation,local_Link_arm_r_04_rotation,local_Link_arm_r_05_rotation,local_Link_arm_r_06_rotation,local_Link_arm_r_07_rotation,local_Link_waist_pitch_rotation,local_Link_waist_roll_rotation,local_Link_waist_yaw_rotation,local_Link_hip_l_roll_rotation,local_Link_hip_l_yaw_rotation,local_Link_hip_l_pitch_rotation,local_Link_knee_l_pitch_rotation,local_Link_ankle_l_pitch_rotation,local_Link_ankle_l_roll_rotation,local_Link_hip_r_roll_rotation,local_Link_hip_r_yaw_rotation,local_Link_hip_r_pitch_rotation,local_Link_knee_r_pitch_rotation,local_Link_ankle_r_pitch_rotation,local_Link_ankle_r_roll_rotation
0.058333333,0.001609544,0,1.140855074,0,0,0,1,0.057554334,0,0,0,0,0,0,0,0.001845228,-1.361356854,1.535889745,0.32,0,0,0,0,-1.361356854,-1.535889745,0.260187596,0,0,0,0,0,0,-0.001134678,-0.000111385,-0.00033383,-0.003239675,-0.00606449,9.97E-07,-0.000986977,-0.00063233,0.017285899,-0.011594339,0.007714673,5.21E-07
0.0625,0.00186902,0,1.140855074,0,0,0,1,0.062274154,0,0,0,0,0,0,0,0.002118838,-1.361356854,1.535889745,0.32,0,0,0,0,-1.361356854,-1.535889745,0.260187596,0,0,0,0,0,0,-0.001133366,-0.000123187,-0.000664039,-0.003238006,-0.005741076,7.59E-07,-0.000977083,-0.000708385,0.019836144,-0.013329192,0.008986398,4.01E-07
0.066666667,0.002148233,0,1.140855074,0,0,0,1,0.067011133,0,0,0,0,0,0,0,0.002408017,-1.361356854,1.535889745,0.32,0,0,0,0,-1.361356854,-1.535889745,0.260187596,0,0,0,0,0,0,-0.001132174,-0.000135942,-0.001019045,-0.003236457,-0.005393938,7.59E-07,-0.000965997,-0.000789686,0.022549943,-0.015187307,0.010307833,2.82E-07
0.070833333,0.002447255,0,1.140855074,0,0,0,1,0.071765237,0,0,0,0,0,0,0,0.002712114,-1.361356854,1.535889745,0.32,0,0,0,0,-1.361356854,-1.535889745,0.260187596,0,0,0,0,0,0,-0.001130744,-0.000149651,-0.001399203,-0.003235384,-0.005022959,5.21E-07,-0.000954076,-0.000876113,0.025424318,-0.017169519,0.011670156,2.82E-07
0.075,0.002766156,0,1.140855074,0,0,0,1,0.07653638,0,0,0,0,0,0,0,0.00303048,-1.361356854,1.535889745,0.32,0,0,0,0,-1.361356854,-1.535889745,0.260187596,0,0,0,0,0,0,-0.001129194,-0.000164195,-0.001804276,-0.003234549,-0.004628495,7.59E-07,-0.000941201,-0.000967785,0.028457359,-0.019275351,0.013067289,1.63E-07
0.079166667,0.003105009,0,1.140855074,0,0,0,1,0.081324629,0,0,0,0,0,0,0,0.003362468,-1.361356854,1.535889745,0.32,0,0,0,0,-1.361356854,-1.535889745,0.260187596,0,0,0,0,0,0,-0.001127644,-0.000179573,-0.002234503,-0.003234192,-0.004210548,8.78E-07,-0.000927134,-0.001064702,0.031645374,-0.021505757,0.014492913,4.01E-07
0.083333333,0.003463884,0,1.140855074,0,0,0,1,0.086130083,0,0,0,0,0,0,0,0.003707427,-1.361356854,1.535889745,0.32,0,0,0,0,-1.361356854,-1.535889745,0.260187596,0,0,0,0,0,0,-0.001125856,-0.000195905,-0.002690001,-0.003234192,-0.003769116,6.40E-07,-0.000911876,-0.001166864,0.034985856,-0.023861571,0.015938207,4.01E-07
0.0875,0.003842854,0,1.140855074,0,0,0,1,0.090952642,0,0,0,0,0,0,0,0.004064711,-1.361356854,1.535889745,0.32,0,0,0,0,-1.361356854,-1.535889745,0.260187596,0,0,0,0,0,0,-0.001124187,-0.00021319,-0.003170653,-0.003234669,-0.003304557,8.78E-07,-0.000895663,-0.001274153,0.038475947,-0.02634327,0.017396971,4.01E-07
0.091666667,0.004241989,0,1.140855074,0,0,0,1,0.095792353,0,0,0,0,0,0,0,0.004433671,-1.361356854,1.535889745,0.32,0,0,0,0,-1.361356854,-1.535889745,0.260187596,0,0,0,0,0,0,-0.00112228,-0.00023131,-0.003676458,-0.003236218,-0.002816872,7.59E-07,-0.00087802,-0.001386805,0.042112784,-0.028951689,0.018860861,5.21E-07
0.095833333,0.004661358,0,1.140855074,0,0,0,1,0.100648768,0,0,0,0,0,0,0,0.004813655,-1.361356854,1.535889745,0.32,0,0,0,0,-1.361356854,-1.535889745,0.260187596,0,0,0,0,0,0,-0.001120492,-0.000250264,-0.004207655,-0.003238364,-0.002306179,5.21E-07,-0.000859185,-0.001504823,0.045893387,-0.031686707,0.020325108,2.82E-07
